,HARGA,LB,LT,KT,KM,GRS
528,3200000000.0,150.0,80.0,5.0,5.0,1.0
531,2250000000.0,135.0,135.0,4.0,4.0,0.0
532,16000000000.0,140.0,246.0,6.0,6.0,1.0
533,5999999999.0,240.0,240.0,4.0,4.0,3.0
534,8555555555.0,304.0,304.0,3.0,2.0,3.0
535,4600000000.0,215.0,135.0,9.0,8.0,2.0
536,4700000000.0,222.0,145.0,4.0,3.0,2.0
537,2500000000.0,165.0,135.0,4.0,3.0,1.0
538,8500000000.0,260.0,256.0,4.0,3.0,4.0
539,5100000000.0,200.0,305.0,5.0,2.0,3.0
540,8000000000.0,330.0,240.0,5.0,5.0,3.0
541,3975000000.0,325.0,226.0,6.0,5.0,1.0
542,5800000000.0,340.0,173.0,5.0,4.0,2.0
543,5500000000.0,420.0,210.0,6.0,5.0,2.0
